Date,Name,Year,Letterboxd URI,Rating
2023-01-20,Toy Story 2,1999,https://boxd.it/29qq,4
2023-01-20,Monsters University,2013,https://boxd.it/bQm,3.5
2023-01-20,Pom Poko,1994,https://boxd.it/1Mvi,4
2023-01-20,8½,1963,https://boxd.it/2aqm,3.5
2023-01-20,Aliens,1986,https://boxd.it/29PA,4
2023-01-20,Alien³,1992,https://boxd.it/20zS,4
2023-01-20,Alien: Covenant,2017,https://boxd.it/49UY,3.5
2023-01-20,Prometheus,2012,https://boxd.it/2s9e,3
2023-01-20,Alien Resurrection,1997,https://boxd.it/20zI,3.5
2023-01-20,Chicken Run,2000,https://boxd.it/20Xg,4
2023-01-20,Shrek,2001,https://boxd.it/29zi,3
2023-01-20,Shrek 2,2004,https://boxd.it/29z8,3
2023-01-20,Madagascar,2005,https://boxd.it/29dc,3.5
2023-01-20,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://boxd.it/2ac0,4.5
2023-01-20,Flushed Away,2006,https://boxd.it/1Tpm,4.5
2023-01-20,Kung Fu Panda,2008,https://boxd.it/1Yws,3
2023-01-20,How to Train Your Dragon,2010,https://boxd.it/1WRy,3
2023-01-20,Early Man,2018,https://boxd.it/dwyu,3
2023-01-20,The Pirates! In an Adventure with Scientists!,2012,https://boxd.it/2p1w,3.5
2023-01-20,A Grand Day Out,1989,https://boxd.it/2acu,3.5
2023-01-20,The Wrong Trousers,1993,https://boxd.it/2ack,4
2023-01-20,A Close Shave,1995,https://boxd.it/2aca,3.5
2023-01-20,A Matter of Loaf and Death,2008,https://boxd.it/1O4S,4
2023-01-20,Creature Comforts,1989,https://boxd.it/tke,4
2023-01-29,The Deer Hunter,1978,https://boxd.it/1T6O,4
2023-01-29,X-Men: Days of Future Past,2014,https://boxd.it/4aRw,3.5
2023-01-29,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,3.5
2023-01-29,La La Land,2016,https://boxd.it/a5fa,3.5
2023-01-29,Cowboy Bebop,1998,https://boxd.it/ptES,4
2023-02-04,The Making of Tokyo Godfathers,2003,https://boxd.it/zfaY,4
2023-02-04,Men,2022,https://boxd.it/tlc0,3.5
2023-02-04,Ex Machina,2015,https://boxd.it/7T2k,3
2023-02-04,Annihilation,2018,https://boxd.it/9yzm,3.5
2023-02-14,Life Is Beautiful,1997,https://boxd.it/29Wm,4
2023-02-14,Call Me by Your Name,2017,https://boxd.it/dYmm,3.5
2023-02-14,My Life as a Zucchini,2016,https://boxd.it/dL2y,3.5
2023-02-16,Parasite,2019,https://boxd.it/hTha,5
2023-02-16,What We Do in the Shadows,2014,https://boxd.it/7eQy,4.5
2023-02-16,Taxi Driver,1976,https://boxd.it/2b8y,4
2023-02-17,Dredd,2012,https://boxd.it/GZE,4
2023-02-21,Women Talking,2022,https://boxd.it/tdq4,3.5
2023-02-24,Birdman,2015,https://boxd.it/frqO,4
